Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,Proportion of Energy from Renewables,R&D Expenditure,Renewable Energy Patents,Innovation Index,GDP,Population,Government Policies,Renewable Energy Targets,Public-Private Partnerships in Energy,Energy Market Liberalization,Ease of Doing Business,Regulatory Quality,Political Stability,Control of Corruption,CO2 Emissions,Average Annual Temperature,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability
Canada,2012,Hydro,99925.06126,26824.44371,3439819648,743320.0954,523.2271588,0.757700691,0.135676194,345335368.7,96.68469929,4213886246,421,27.28895279,3.16258E+13,481876601,0,0,0,1,8.445713337,0.838293113,3.118576103,0.512885938,387603.4583,4.365507535,230.0458609,8.33858106,23.54765534,15.20767249
Brazil,2016,Solar,89553.34701,5021.215089,230691116.5,755329.7813,595.3646423,0.336435511,0.115265146,518123314.4,83.42992676,2819583627,818,81.19555728,1.02798E+14,1336318209,0,1,1,1,15.287388,0.424269662,7.687172852,7.117310202,764702.0839,-7.236200457,101.6332266,2.755193861,93.22074072,64.55887278
France,2002,Hydro,18200.04922,33611.58148,7337585412,302879.87,423.2302085,0.345480246,0.107748805,844838068.9,50.65318621,7177794816,632,66.59895069,2.53952E+13,677070231,1,1,1,0,42.58156951,5.799124198,3.198958936,1.185237412,74699.23637,11.15917008,188.6944571,12.02965137,24.63759375,56.52379646
Brazil,2014,Solar,82593.10146,30016.23557,4158375371,273895.4372,35.00622908,0.425187727,0.195446017,366810840,29.75568858,7847293789,875,43.81167117,3.44183E+13,1422504982,0,1,1,1,54.42523499,7.493097706,3.50830153,1.282187203,87442.613,14.79961515,132.899073,4.775603933,66.96177891,13.43352852
Australia,2015,Biomass,15042.8999,12148.92516,9426153986,465093.5105,874.5784168,0.609577862,0.166264931,726199983.9,71.52650883,7480487992,358,61.45821654,1.76197E+14,815611375,0,1,1,1,97.26363048,5.899585063,4.895402344,4.133813446,627278.8159,31.28941858,210.523525,3.116105652,36.35908284,41.67936401
Australia,2008,Biomass,74876.0712,12543.45251,3455866137,71588.20509,162.819109,0.294963158,0.434846695,326290653.8,86.99722195,2212804963,397,5.563976485,1.72375E+14,158043825,0,0,0,0,28.74138067,8.095068061,1.976974069,8.395944465,386514.0722,18.96725828,222.3437834,10.07406937,89.53462458,7.841174794
Japan,2006,Biomass,94795.554,12717.1024,9298247383,502032.107,895.896765,0.247041258,0.114880691,716298519,62.47179468,1941257292,215,64.29315512,1.80329E+14,196117970,0,1,1,1,44.5137658,6.056688241,7.208213433,5.641008618,156401.4514,19.87924691,206.5229206,9.43926883,1.409016212,28.61379459
China,2018,Geothermal,64343.49661,15105.74685,7710290586,866350.8736,245.0502485,0.245856463,0.140792827,78271383.52,70.31272964,5314580255,145,47.61433504,8.94105E+13,825303813,0,0,1,1,38.30517953,7.169252686,7.038310099,7.432377783,104947.767,26.17242771,209.1877745,13.31582148,35.41338035,18.2053633
India,2002,Geothermal,56811.33184,5382.553725,4272846256,916309.8709,796.2127289,0.41305429,0.309372033,164909465.3,87.81824477,9923376309,129,10.90318815,1.02475E+14,806834111,1,0,1,0,71.80432774,0.274605513,2.66489132,0.307446802,775434.6926,34.89095775,244.6262406,4.741267776,20.2999628,31.38031218
Russia,2016,Hydro,28476.14193,14108.55215,866736604.5,569919.1987,280.1566399,0.802206018,0.437625231,501852062.2,52.79969631,9482181930,878,44.58303939,2.86896E+13,580188867,1,0,0,0,79.2616143,5.258765771,4.423546959,1.993513906,63131.61463,39.46503568,194.6917624,8.174213244,66.16141288,50.00034892
Australia,2023,Biomass,85410.08182,23857.82954,2167936458,24759.84824,356.4939399,0.019280572,0.4190029,771709706.8,80.54025793,167322848.9,591,35.14812994,5.76244E+13,1024743455,0,0,1,1,44.13998634,1.439011572,1.650190476,0.576657397,847735.2773,3.336323166,258.6068475,11.63235851,46.59750051,0.871043666
France,2011,Biomass,78962.16902,14834.70911,9209311894,163863.6087,968.2896281,0.622640257,0.468744661,846364194.2,91.69298949,6827022192,139,90.33266188,1.05634E+14,101518698,1,0,1,1,18.25765643,9.156169576,4.908667806,9.101971346,226202.1156,37.44570327,225.6402254,5.740440086,34.26334681,30.41029029
Germany,2021,Wind,32371.96925,43753.95831,866397783.8,947682.4832,407.8283006,0.047090097,0.075134603,911868156.7,37.61390314,7199788753,77,32.39592302,3.86614E+13,1222196199,0,1,0,0,53.3089181,6.814699698,2.019426709,8.596906042,783379.6366,-0.652149493,194.3256704,8.61019966,4.429114508,37.39718474
Russia,2021,Solar,78140.21786,35785.19912,4416186033,561190.7949,555.740569,0.546066693,0.451271408,922694392.5,15.3845575,9078119141,444,70.24824728,1.17243E+14,23159003,0,0,0,0,78.58843012,8.702213392,9.867300126,5.206448293,327312.1356,33.82550735,221.0349012,10.99718158,65.89934809,39.60984497
Australia,2003,Geothermal,19414.71555,29097.85934,8626867035,360485.1827,107.9429044,0.781963974,0.166055585,150049032.9,47.72785068,429787388.9,668,40.59453444,1.88187E+14,1126147697,1,0,1,1,21.41129209,1.739709157,6.883519219,0.92580861,842913.1648,26.43734967,104.4635867,1.092451157,78.82492731,89.1955005
China,2023,Biomass,89107.09709,44460.57035,3576603747,864189.7165,542.3122924,0.445670245,0.054226297,360329155.7,90.92484565,588450481.9,853,50.74640573,7.65327E+13,379750003,0,0,0,1,58.55132972,4.976360204,0.130813331,0.995843202,711972.8586,3.387739428,100.5698856,7.381932325,94.19606823,63.51676701
